car_entry_id,year,make,model,trim,miles,offer
133,2008,Honda,Civic,LX,180042,3995
134,2019,Honda,Civic,LX,146698,13695
135,2019,Honda,Civic,Sport,77629,17060
136,2015,Honda,Civic,EX Coupe,113161,10995
137,2008,Honda,Civic,LX,249278,4250
138,2015,Honda,Civic,SE,141835,10900
139,2022,Honda,Civic,Sport,14980,24990
140,2020,Honda,Civic,LX,13057,21743
141,2020,Honda,Civic,Sport Touring Hatchback,68756,23999
142,2020,Honda,Civic,Sport,34847,22901
143,2022,Honda,Civic,EX-L Hatchback,11785,26998
144,2020,Honda,Civic,Sport,34847,22901
145,2018,Honda,Civic,EX-L,106176,16910
146,2019,Honda,Civic,LX,77222,17995
147,2018,Honda,Civic,EX-T,45586,19699
148,2020,Honda,Civic,EX,49770,21992
149,2021,Honda,Civic,EX Hatchback,32110,24476
150,2019,Honda,Civic,Sport,89335,17991
151,2019,Honda,Civic,EX Hatchback,70854,20450
152,2020,Honda,Civic,Sport,55713,21990
153,2020,Honda,Civic,LX,33415,20400
154,2017,Honda,Civic,Si,74314,20950
155,2015,Honda,Civic,EX-L,135136,12995
156,2021,Honda,Civic,LX,45695,20500
157,2022,Honda,Civic,LX,35328,22495
158,2020,Honda,Civic,Sport Hatchback,28168,23999
159,2012,Honda,Civic,LX,120503,9488
160,2016,Honda,Civic,EX,57401,15995
161,2021,Honda,Civic,EX-L,40470,23550
162,2020,Honda,Civic,Sport Hatchback,47063,22950
163,2012,Honda,Civic,LX,99666,10000
164,2012,Honda,Civic,LX,99666,10000
165,2020,Honda,Civic,EX-L,21734,21994
166,2019,Honda,Civic,EX,38450,14900
167,2019,Honda,Civic,Sport Hatchback,43392,15999
168,2022,Honda,Civic,Si,9092,32590
169,2021,Honda,Civic,Sport Hatchback,22106,25000
170,2018,Honda,Civic,LX,49322,12900
171,2016,Honda,Civic,Touring,47344,15499
172,2020,Honda,Civic,Sport Hatchback,42400,17500
173,2018,Honda,Civic,EX,39606,15499
174,2017,Honda,Civic,Touring,69072,18888
175,2014,Honda,Civic,EX Coupe,70481,10999
176,2016,Honda,Civic,LX,24764,18750
177,2020,Honda,Civic,Sport,72192,21225
178,2012,Honda,Civic,LX Coupe,101608,9990
179,2017,Honda,Civic,LX,67208,13749
180,2023,Honda,Civic,Sport Hatchback,4147,26998
181,2022,Honda,Civic,Touring,29133,17000
182,2021,Honda,Civic,Sport,42517,21998
183,2018,Honda,Civic,EX,48252,18500
184,2016,Honda,Civic,LX,10719,21590
185,2002,Honda,Civic,LX,131870,4495
186,2016,Honda,Civic,LX,32337,14998
187,2020,Honda,Civic,LX,38358,20521
188,2019,Honda,Civic,LX,12306,22990
189,2015,Honda,Civic,LX,22231,18990
190,2016,Honda,Civic,Touring,57900,20990
191,2018,Honda,Civic,EX-T,46417,18999
192,2016,Honda,Civic,LX,74177,15488
193,2020,Honda,Civic,Sport Coupe,15839,22714
194,2014,Honda,Civic,LX,62047,14169
195,2017,Honda,Civic,LX,44940,17990
196,2022,Honda,Civic,Si,10939,32590
197,2020,Honda,Civic,LX,13021,22645
198,2013,Honda,Civic,Si,101560,15250
199,2020,Honda,Civic,LX,17995,21800
200,2022,Honda,Civic,EX,8810,28590
201,2021,Honda,Civic,EX Hatchback,23872,24901
202,2020,Honda,Civic,LX,17764,23484
203,2021,Honda,Civic,LX,24365,19944
204,2008,Honda,Civic,LX,120198,6750
205,2021,Honda,Civic,EX,7803,24978
206,2022,Honda,Civic,EX,36628,24901
207,2020,Honda,Civic,LX,31360,18879
208,2010,Honda,Civic,LX,139998,7299
209,2021,Honda,Civic,EX-L,8119,25400
210,2020,Honda,Civic,EX-L,27089,24562
211,2018,Honda,Civic,EX-L,23697,24590
212,2016,Honda,Civic,EX-T,43269,17607
213,2022,Honda,Civic,Si,18035,31990
214,2022,Honda,Civic,EX-L Hatchback,7174,27998
215,2020,Honda,Civic,Sport Coupe,66636,19901
216,2021,Honda,Civic,Sport Hatchback,11712,26888
217,2020,Honda,Civic,Sport,11172,23098
218,2016,Honda,Civic,LX,55622,13999
219,2022,Honda,Civic,EX,28817,25901
220,2015,Honda,Civic,LX,95300,13950
221,2022,Honda,Civic,Sport,6112,26998
222,2018,Honda,Civic,LX,102166,14998
223,2022,Honda,Civic,Sport,13193,26998
224,2022,Honda,Civic,Sport,29056,24990
225,2012,Honda,Civic,EX Coupe,93805,9999
226,2021,Honda,Civic,Sport,21217,23288
227,2023,Honda,Civic,Sport,5506,27998
228,2022,Honda,Civic,EX,29100,25901
229,2017,Honda,Civic,EX-L Coupe,22372,22990
230,2020,Honda,Civic,EX Hatchback,12136,24793
231,2022,Honda,Civic,EX,23505,22000
232,2019,Honda,Civic,Sport Hatchback,73851,20762
233,2022,Honda,Civic,Si,2332,32998
234,2013,Honda,Civic,LX,79093,15590
235,2021,Honda,Civic,Type R Hatchback,6530,46998
236,2022,Honda,Civic,Sport Hatchback,4636,27998
237,2012,Honda,Civic,EX-L,81857,12950
238,2023,Honda,Civic,Sport,7257,27998
239,2022,Honda,Civic,Si,12665,30985
240,2022,Honda,Civic,Si,6670,31582
241,2020,Honda,Civic,EX Hatchback,10331,25959
242,2002,Honda,Civic,EX,99129,5999
243,2023,Honda,Civic,Sport,4462,27998
244,2021,Honda,Civic,EX,18265,26024
245,2021,Honda,Civic,EX,10686,26398
246,2012,Honda,Civic,LX,120893,6950
247,2020,Honda,Civic,LX,4351,22999
248,2019,Honda,Civic,LX,14250,18995
249,2023,Honda,Civic,LX,5556,26998
250,2022,Honda,Civic,Sport,14537,26998
251,2014,Honda,Civic,LX,153566,9995
252,2021,Honda,Civic,Type R Hatchback,14965,43990
253,2021,Honda,Civic,LX,23385,22998
254,2022,Honda,Civic,Si,4683,32998
255,2021,Honda,Civic,Type R Hatchback,12577,44999
256,2020,Honda,Civic,LX Coupe,28797,19900
257,2021,Honda,Civic,Touring,15871,26998
258,2018,Honda,Civic,LX Coupe,55259,19990
259,2022,Honda,Civic,LX,19544,26382
260,2017,Honda,Civic,LX,42041,19890
261,2023,Honda,Civic,Touring,6397,30500
262,2015,Honda,Civic,LX,31459,17015
263,2022,Honda,Civic,Sport,7002,27998
264,2023,Honda,Civic,Si,3021,32999
265,2022,Honda,Civic,Sport,12470,27624
266,2023,Honda,Civic,Si,1316,33589
267,2020,Honda,Civic,LX,93576,18998
268,2023,Honda,Civic,EX-L Hatchback,7405,29998
269,2023,Honda,Civic,EX-L Hatchback,7405,29998
270,2022,Honda,Civic,Sport Touring Hatchback,17559,29999
271,2020,Honda,Civic,LX,30624,20417
272,2014,Honda,Civic,LX,195103,7995
273,2020,Honda,Civic,Sport,41014,23990
274,2020,Honda,Civic,Sport Coupe,38086,22219
275,2017,Honda,Civic,LX Coupe,35947,18678
276,2017,Honda,Civic,LX,47735,19421
277,2014,Honda,Civic,LX,116283,12241
278,2019,Honda,Civic,LX,38284,21333
279,2022,Honda,Civic,LX,10743,25589
280,2023,Honda,Civic,Sport,20696,27991
281,2022,Honda,Civic,Sport,20010,26500
282,2021,Honda,Civic,Type R Hatchback,21831,43998
283,2015,Honda,Civic,LX,170674,9935
284,2020,Honda,Civic,EX Hatchback,22489,24998
285,2019,Honda,Civic,Si Coupe,90430,20498
286,2023,Honda,Civic,Si,2279,34590
287,2023,Honda,Civic,Si,5729,32999
288,2020,Honda,Civic,Sport,35014,22986
289,2020,Honda,Civic,LX,30634,21995
290,2020,Honda,Civic,Sport,44104,24176
291,2020,Honda,Civic,LX,25966,22888
292,2020,Honda,Civic,EX,30010,24400
293,2023,Honda,Civic,Si,7636,32999
294,2023,Honda,Civic,Touring,2988,30998
295,2022,Honda,Civic,Touring,12353,29998
296,2020,Honda,Civic,EX,13614,23769
297,2022,Honda,Civic,Sport Touring Hatchback,9509,29983
298,2023,Honda,Civic,Sport,5121,28589
299,2017,Honda,Civic,EX-T Coupe,68339,17981
300,2014,Honda,Civic,LX Coupe,126280,11500
301,2022,Honda,Civic,LX,28728,23403
302,2022,Honda,Civic,EX-L Hatchback,18765,27998
303,2019,Honda,Civic,LX,56631,19608
304,2022,Honda,Civic,Sport Touring Hatchback,13933,29998
305,2020,Honda,Civic,LX,71735,19932
306,2020,Honda,Civic,LX,36510,20051
307,2017,Honda,Civic,LX Coupe,33703,19998
308,2017,Honda,Civic,LX-P Coupe,75306,17858
309,2022,Honda,Civic,Sport,25291,25100
310,2018,Honda,Civic,Sport Hatchback,77908,20395
311,2022,Honda,Civic,Sport,22042,25998
312,2018,Honda,Civic,EX Hatchback,22159,24998
313,2019,Honda,Civic,EX,28060,23590
314,2022,Honda,Civic,EX-L Hatchback,9105,28999
315,2022,Honda,Civic,Sport,16577,26998
316,2021,Honda,Civic,Sport Hatchback,26546,23995
317,2019,Honda,Civic,Si,48086,24000
318,2017,Honda,Civic,EX-L,14195,23990
319,2020,Honda,Civic,Sport Coupe,72896,20426
320,2019,Honda,Civic,Si,109928,20763
321,2016,Honda,Civic,LX Coupe,52365,16947
322,2022,Honda,Civic,EX,23566,26990
323,2019,Honda,Civic,LX,49004,20500
324,2021,Honda,Civic,Sport Hatchback,19927,26949
325,2020,Honda,Civic,EX,25603,22495
326,2019,Honda,Civic,LX,42838,19999
327,2015,Honda,Civic,EX-L,98626,16995
328,2021,Honda,Civic,EX,35605,23270
329,2019,Honda,Civic,Sport,93366,19955
330,2020,Honda,Civic,Sport,21244,25269
331,2023,Honda,Civic,Sport,2273,29589
332,2017,Honda,Civic,EX,35085,20000
333,2022,Honda,Civic,Sport,19830,26575
334,2013,Honda,Civic,LX,21812,18590
335,2019,Honda,Civic,LX,53095,19484
336,2016,Honda,Civic,EX,90034,17000
337,2019,Honda,Civic,Si,16885,27990
338,2018,Honda,Civic,LX,94800,15800
339,2023,Honda,Civic,Sport,2273,29589
340,2020,Honda,Civic,EX,29736,23600
341,2020,Honda,Civic,EX,25465,23632
342,2022,Honda,Civic,Touring,19233,28982
343,2021,Honda,Civic,Sport,52313,22842
344,2020,Honda,Civic,EX,28235,25411
